edition,date,artist
2021,11/06/2021,Wilco
2021,13/06/2021,Imelda May
2021,15/06/2021,Woodkid
2021,15/06/2021,Awir Leon
2021,16/06/2021,Estrella Morente
2021,16/06/2021,Kiki Morente
2021,18/06/2021,Gipsy Kings
2021,18/06/2021,La Barbería del Sur
2021,19/06/2021,Pat Metheny
2021,23/06/2021,Victor Manuel
2021,23/06/2021,Nando Agüeros
2021,25/06/2021,Zenet
2021,25/06/2021,Javier Ruibal
2021,29/06/2021,LP
2021,30/06/2021,Tom Jones
2021,03/07/2021,Belle and Sebastian
2021,03/07/2021,Beth Orton
2021,04/07/2021,Crowded House
2021,06/07/2021,Agnes Obel
2021,06/07/2021,John Grant
2021,07/07/2021,Rufus Wainwright
2021,08/07/2021,Cècile McLorin Salvant
2021,08/07/2021,Tigran Hamasyan
2021,09/07/2021,Tomatito
2021,09/07/2021,Alex Conde
2021,10/07/2021,Diego El Cigala
2021,11/07/2021,Of Monster and Men
2021,11/07/2021,Smith & Thell
2021,14/07/2021,George Thorogood & The Destroyers
2021,14/07/2021,Vintage Trouble
2021,15/07/2021,Asaf Avidan
2021,15/07/2021,Mayra Andrade
2021,16/07/2021,Zucchero
2021,16/07/2021,Patáx
2021,17/07/2021,Vicente García
2021,17/07/2021,Tony Succar
2021,18/07/2021,Carlinhos Brown
2021,18/07/2021,Cimafunk
2021,19/07/2021,Yann Tiersen
2021,19/07/2021,JJ Machuca
2021,20/07/2021,Jessie J
2021,21/07/2021,Youssou N'dour
2021,21/07/2021,Cymande
2021,22/07/2021,Little Dragon
2021,22/07/2021,The Cinematic Orchestra
2021,24/07/2021,Andrés Suárez
2021,24/07/2021,Isma Romero
2021,26/07/2021,Herbie Hancock
2021,26/07/2021,Alfa Mist
2021,28/07/2021,Oscar D'León
2021,28/07/2021,Eva Ayllón
2021,29/07/2021,Los Secretos
2021,29/07/2021,Twanguero
2019,20/06/2019,Woody Allen
2019,21/06/2019,Ana Belén
2019,22/06/2019,Los Planetas
2019,24/06/2019,Milton Nascimento
2019,24/06/2019,Andrea Motis 
2019,25/06/2019,The Chieftains
2019,25/06/2019,Carlos Nuñez 
2019,26/06/2019,Salvador Sobral
2019,27/06/2019,Ivan Ferreiro
2019,28/06/2019,Andrés Calamaro
2019,29/06/2019,Zahara
2019,29/06/2019,XIMENA SARIÑANA
2019,30/06/2019,The Waterboys
2019,30/06/2019,Paul Carrack
2019,02/06/2019,Daryl Hall & John Oates
2019,03/07/2019,Hindi Zahra
2019,03/07/2019,Beirut
2019,04/07/2019,Madness
2019,04/07/2019,Dead Capo
2019,05/07/2019,The Roots
2019,05/07/2019,Tank & The Bangas
2019,06/07/2019,Loreena McKennitt
2019,09/07/2019,Monsieur Periné
2019,09/07/2019,Juanes
