artist_name,artist_spid,artist_followers,artist_popularity,artist_genres,2016,2017,2018,2019,2021
2CELLOS,6Fi8CHfO8WGtu3yO8c2Mc4,779693.0,65.0,"['bow pop', 'cello', 'classify']",1,0,0,0,0
Agnes Obel,1rKrEdI6GKirxWHxIUPYms,627117.0,66.0,['chamber pop'],0,0,0,0,1
Alan Parsons,6HpZkC8GUktP9utE6OPWZG,180645.0,44.0,"['album rock', 'art rock', 'progressive rock', 'symphonic rock']",1,0,0,0,0
Alex Conde,34gsS5srfZEkRrwauF4Czj,227.0,1.0,['spanish jazz'],0,0,0,0,1
Alfa Mist,2i1CPudyCUjL50Wqjv8AMI,130385.0,55.0,"['british jazz', 'indie jazz', 'indie soul', 'neo r&b', 'uk contemporary jazz']",0,0,0,0,1
Alpha Blondy,41ekW4MXG59xJMXR8dX1OG,357847.0,61.0,"['african reggae', 'french reggae', 'reggae', 'roots reggae']",0,1,0,0,0
Amadou & Mariam,3KH7WsR2JZQ94Ik8SyabU6,146300.0,56.0,"['afrobeat', 'afropop', 'malian blues', 'mande pop', 'world']",0,0,0,1,0
Ana Belén,4NOZW7dBOmBMMAG9EGQd4t,245745.0,60.0,"['cancion melodica', 'cantautor', 'latin pop', 'nueva cancion', 'spanish pop', 'trova']",0,0,0,1,0
Anastacia,2siHvYaxjaW5rKVRiIrMYH,241301.0,64.0,"['dance pop', 'europop']",0,1,0,0,0
Andrea Motis,6CEcslhZk3A6cnin9neg5j,61660.0,49.0,"['jazz catala', 'spanish jazz']",0,0,0,1,0
Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,1538807.0,73.0,"['argentine rock', 'cantautor', 'latin alternative', 'latin rock', 'pop argentino', 'rock en espanol']",0,0,0,1,0
Andrés Suárez,1AaN24tRzIpDKK54IRtdIe,121056.0,63.0,"['cantautor', 'spanish pop', 'spanish rock']",0,0,0,0,1
Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,1089077.0,71.0,"['australian indie folk', 'indie folk', 'stomp and holler']",0,0,1,0,0
Antonio Sánchez,19KpCg8O15A2eZ416EyFdw,24230.0,47.0,['jazz drums'],1,0,0,0,0
Asaf Avidan,7t51dSX8ZkKC7VoKRd0lME,264307.0,62.0,"['israeli pop', 'israeli rock']",0,0,0,0,1
Awir Leon,68w52f6vaT0Xgy1WraRtyq,3340.0,31.0,[],0,0,0,0,1
Beirut,6pmxr66tMAePxzOLfjGNcX,843640.0,63.0,"['albuquerque indie', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'stomp and holler']",0,0,0,1,0
Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,508826.0,62.0,"['alternative rock', 'anti-folk', 'baroque pop', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'scottish indie', 'scottish rock', 'twee pop']",0,0,0,0,1
Ben Harper And The Innocent Criminals,7sJ9LR0mCMgFlzJ6Y9xP64,100935.0,51.0,['modern folk rock'],0,0,0,1,0
Benjamin Clementine,7zHIrsSBL7A0gEJfzv1m7z,250034.0,51.0,['art pop'],1,0,0,0,0
Beth Hart,30TrHDLNCKQVTYWOn9QqOC,253225.0,59.0,"['blues rock', 'electric blues', 'lilith', 'modern blues']",0,1,0,0,0
Beth Orton,6cLEWhEKQl6nAvgr60M7zC,99125.0,48.0,"['folk', 'folktronica', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']",0,0,0,0,1
Billy Hart Quartet,6PQa6yAVcmwpTr2xPDrARo,246.0,3.0,[],0,0,1,0,0
Bokanté,14nSwnnRivPDPNGGOZjwk6,8309.0,25.0,[],0,1,0,0,0
Bomba Estéreo,5n9bMYfz9qss2VOW89EVs2,845508.0,67.0,"['cumbia', 'latin alternative', 'latin rock', 'pop electronico']",1,0,1,0,0
Bowie,6tZFNoHyrL9GSlEW1rXoxT,1197.0,30.0,[],1,0,0,0,0
Brad Mehldau,2vI9KFm0fwSfPrpEgOeIbq,148811.0,59.0,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano']",1,0,1,0,0
British Murder Boys,2GHvHovCwFqoSUmIR8l16q,3417.0,14.0,['experimental techno'],0,0,1,0,0
Bryan Ferry,5RNFFojXkPRmlJZIwXeKQC,356837.0,62.0,"['album rock', 'art rock', 'dance rock', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop']",0,1,0,0,0
